Date,Cases,Deaths
2020-12-06,1058066,19176
2023-01-11,7350177,84176
2021-07-30,2590699,39079
2020-12-07,1065777,19281
2023-01-12,7350177,84176
2022-06-01,6169670,74557
2022-02-01,5555874,65271
2021-07-31,2590699,39079
2020-12-08,1073762,19377
2023-01-13,7350177,84176
2022-06-02,6182874,74588
2022-02-02,5572757,65273
2020-12-09,1083354,19461
2023-01-14,7350177,84176
2022-06-03,6196905,74588
2022-02-03,5590369,65993
2023-01-15,7350177,84176
2022-06-04,6208047,74667
2022-02-04,5610464,66279
2023-01-16,7350177,84176
2022-06-05,6208047,74667
2022-02-05,5629602,66279
2023-01-17,7350177,84176
2022-06-06,6223573,74715
2022-02-06,5629602,66279
2023-01-18,7350177,84176
2022-06-07,6235311,74719
2022-02-07,5680958,66463
2023-01-19,7350177,84176
2022-06-08,6247227,74766
2022-02-08,5700264,66465
2022-06-09,6259362,74818
2022-02-09,5713185,66468
2021-12-10,3710624,62026
2021-12-11,3713214,62026
2021-12-12,3713214,62026
2021-12-13,3717079,62073
2021-12-14,3720146,62073
2021-12-15,3724273,62074
2021-12-16,3730654,62191
2023-02-10,7440322,85710
2021-12-17,3739439,62220
2023-02-11,7440322,85710
2021-12-18,3748148,62220
2021-08-30,3231846,44553
2023-02-12,7440322,85710
2022-07-01,6493977,75891
2022-03-01,5808620,70247
2021-12-19,3748148,62220
2021-08-31,3250454,44561
2023-02-13,7440322,85710
2022-07-02,6493977,75891
2022-03-02,5810369,70247
2023-02-14,7440322,85710
2022-07-03,6493977,75891
2022-03-03,5812552,70789
2023-02-15,7440322,85710
2022-07-04,6493977,75891
2022-03-04,5814521,70997
2023-02-16,7440322,85710
2022-07-05,6526305,76031
2022-03-05,5816275,70997
2023-02-17,7473371,86294
2022-07-06,6534357,76041
2022-03-06,5816275,70997
2023-02-18,7473371,86294
2022-07-07,6547636,76119
2022-03-07,5818732,71326
2023-02-19,7473371,86294
2022-07-08,6561833,76193
2022-03-08,5820320,71326
2022-07-09,6561833,76193
2022-03-09,5821833,71397
2020-10-01,709136,14443
2020-10-02,711796,14553
2020-10-03,714583,14627
2020-10-04,716451,14670
2020-10-05,717866,14711
2023-03-10,7531055,86850
2020-10-06,720117,14766
2023-03-11,7531055,86850
2020-10-07,722699,14903
2023-03-12,7531055,86850
2022-08-01,6815107,77734
2020-10-08,726005,15067
2023-03-13,7531055,86850
2022-08-02,6815107,77734
2020-10-09,728913,15185
2023-03-14,7531055,86850
2022-08-03,6834572,77823
2023-03-15,7531055,86850
2022-08-04,6845953,77823
2023-03-16,7531055,86850
2022-08-05,6855234,78047
2023-03-17,7542869,87141
2022-08-06,6855234,78047
2023-03-18,7542869,87141
2022-08-07,6855234,78047
2023-03-19,7542869,87141
2022-08-08,6875931,78236
2022-08-09,6884224,78251
2021-10-10,3604846,56667
2021-10-11,3604846,56667
2021-10-12,3611767,57300
2021-10-13,3614272,57303
2021-10-14,3617649,57711
2021-10-15,3620562,57859
2021-10-16,3623046,57859
2021-10-17,3623046,57859
2021-10-18,3626142,58142
2022-09-01,7031906,79955
2021-10-19,3628264,58143
2022-09-02,7037431,80027
2022-09-03,7037431,80027
2022-09-04,7037431,80027
2022-09-05,7037431,80027
2022-09-06,7051414,80209
2022-09-07,7051414,80209
2022-09-08,7061296,80305
2022-09-09,7066234,80386
2022-10-20,7145833,82065
2022-10-21,7149300,82176
2021-11-10,3664403,60418
2022-10-22,7149300,82176
2021-11-11,3664403,60418
2022-10-23,7149300,82176
2021-11-12,3668077,60697
2022-10-24,7149300,82176
2021-11-13,3669489,60698
2022-10-25,7149300,82176
2021-11-14,3669489,60698
